Epoch,Loss,BLEU
1,2.97298264503479,0.007531076177119177
2,2.3174355030059814,0.004611493182840955
3,2.1409342288970947,0.004611493182840955
4,2.052544355392456,0.003644207941398497
5,1.9933929443359375,0.003644207941398497
6,1.9498050212860107,0.009293218419305775
7,1.91529381275177,0.0020640765449620032
8,1.8843129873275757,0.009293218419305775
9,1.858396291732788,0.012394164401062642
10,1.8344753980636597,0.012394164401062642
11,1.814289927482605,0.012394164401062642
12,1.797003149986267,2.711049847195602e-79
13,1.7800371646881104,0.012394164401062642
14,1.763476848602295,7.643108559182693e-80
15,1.743507981300354,0.0049664860392260625
16,1.7234625816345215,2.711049847195602e-79
17,1.7028942108154297,2.768224508993997e-79
18,1.6854544878005981,2.711049847195602e-79
19,1.6708736419677734,0.008840011874864035
20,1.654815673828125,0.003745333098949911
