Epoch,Loss,BLEU
1,2.786649465560913,3.1221543442508954e-79
2,2.06766676902771,5.302571734352028e-80
3,1.862815022468567,0.009296928058515551
4,1.7373087406158447,0.002010197079243474
5,1.6392297744750977,0.009296928058515551
6,1.5552594661712646,0.0128382146928305
7,1.4823640584945679,0.00767142120966519
8,1.4171433448791504,0.0010839997728613953
9,1.357863187789917,0.0005623669795215302
10,1.301998257637024,0.0015146347786914682
11,1.2503687143325806,0.00042818185319516076
12,1.2035309076309204,0.00042818185319516076
13,1.1613532304763794,0.002637457941081521
14,1.1237901449203491,0.008203378900816311
15,1.088510513305664,0.008203378900816311
16,1.0537558794021606,0.003324614935352666
17,1.019567608833313,0.0007186410072421729
18,0.9882348775863647,0.0012482817765447178
19,0.9547280669212341,3.587389504055988e-80
20,0.9260808229446411,2.519075499998327e-79
